ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
225  ,"MONTREAL, CH DE  ",K1L6C7,Ward 12,244,14-15,CONTRACTOR UNKNOWN,Office,Vanier,Alterations to the premise isolation device on the standpipe system in a 3 storey office building,0.0,3000.0,0.0,2300268.0,Construction,2023-01-23 11:33:11
243  ,"BEAUGENCY, RUE DE  ",K1W0N6,Ward 19,,33,GLENVIEW HOMES (INNES) LTD,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 30-03 2018 E,1.0,323905.0,1937.0,2300269.0,Construction,2023-01-23 11:52:34
6083  ,JAMES BELL DR ,K4M1B3,Ward 21,480,14,CONTRACTOR UNKNOWN,Single,Rideau,Construct a 2nd storey addition to a 1 storey detached dwelling,0.0,481403.3,2590.0,2300270.0,Construction,2023-01-23 12:10:57
294  ,DUNCAIRN AVE ,K1Z7G9,Ward 15,362,12,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1.0,8000.0,-1507.0,2300272.0,Demolition,2023-01-23 14:05:34
292 B ,DUNCAIRN AVE ,K1Z7G9,Ward 15,362,12,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey long semi-detached dwelling with secondary dwelling units in the basement,4.0,636513.27,3757.0,2300273.0,Construction,2023-01-23 14:07:21
292  ,DUNCAIRN AVE ,K1Z7G9,Ward 15,362,12,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey long semi-detached dwelling with secondary dwelling units in the basement,4.0,636513.27,3757.0,2300273.0,Construction,2023-01-23 14:07:21
294 B ,DUNCAIRN AVE ,K1Z7G9,Ward 15,362,12,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey long semi-detached dwelling with secondary dwelling units in the basement,4.0,636513.27,3757.0,2300273.0,Construction,2023-01-23 14:07:21
294  ,DUNCAIRN AVE ,K1Z7G9,Ward 15,362,12,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey long semi-detached dwelling with secondary dwelling units in the basement,4.0,636513.27,3757.0,2300273.0,Construction,2023-01-23 14:07:21
216  ,MURRAY ST ,K1N5N1,Ward 12,42482,29,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,FOUNDATION ONLY: Construct an 8 storey apartment building with 48 dwelling units,48.0,0.0,0.0,2300274.0,Construction,2023-01-23 15:42:06
20  ,SANDY AVE ,K2G0E1,Ward 9,340423,146,CONTRACTOR UNKNOWN,Single,Nepean,Construct a 2 storey detached dwelling,1.0,375920.59,2248.06,2300275.0,Construction,2023-01-24 08:38:38
1679  ,SMITHERS CRES ,K1C4W9,Ward 2,4M-450,31,MR. FOUNDATION INC,Single,Gloucester,Exterior alterations to a 2 storey detached dwelling (underpinning foundation),0.0,20800.0,0.1,2300276.0,Construction,2023-01-24 09:24:01
